age,workclass,education.num,marital.status,occupation,sex,race,capital.gain,capital.loss,hours.per.week,income,income_prediction,mitigated_prediction
22,Private,13,Never-married,Farming-fishing,Male,White,0,0,38,>50K,>50K,0
59,Private,8,Married-civ-spouse,Handlers-cleaners,Male,White,0,0,39,>50K,>50K,1
56,Private,11,Married-civ-spouse,Prof-specialty,Male,White,0,0,39,>50K,>50K,1
58,Private,11,Divorced,Sales,Male,White,0,0,37,>50K,>50K,1
45,Private,6,Married-civ-spouse,Prof-specialty,Male,White,7940,0,45,<=50K,<=50K,0
24,Self-emp-not-inc,5,Married-civ-spouse,Prof-specialty,Male,White,0,0,28,<=50K,<=50K,0
26,Private,12,Never-married,Exec-managerial,Female,White,0,0,29,<=50K,<=50K,0
25,State-gov,12,Married-civ-spouse,Handlers-cleaners,Female,White,0,0,46,<=50K,<=50K,1
29,Self-emp-inc,11,Married-civ-spouse,Sales,Female,White,0,0,38,<=50K,<=50K,0
51,Self-emp-not-inc,12,Married-civ-spouse,Transport-moving,Male,White,0,0,51,>50K,>50K,1
50,Self-emp-not-inc,7,Married-civ-spouse,Tech-support,Male,White,0,0,44,<=50K,<=50K,0
65,Private,15,Widowed,Machine-op-inspct,Male,White,0,0,33,>50K,>50K,1
72,Self-emp-not-inc,6,Married-civ-spouse,Machine-op-inspct,Male,White,0,0,46,>50K,>50K,1
40,Private,11,Married-civ-spouse,Exec-managerial,Female,White,0,0,54,>50K,>50K,1
41,Local-gov,12,Never-married,Farming-fishing,Male,White,0,0,45,<=50K,<=50K,0
54,Private,5,Never-married,Craft-repair,Male,White,0,440,47,<=50K,<=50K,0
52,Private,14,Married-civ-spouse,Tech-support,Male,White,0,0,37,>50K,>50K,1
61,Private,13,Never-married,Sales,Female,White,0,0,51,<=50K,<=50K,1
57,Private,15,Never-married,Machine-op-inspct,Male,Black,0,0,33,>50K,>50K,1
39,Private,8,Never-married,Farming-fishing,Male,Black,0,0,44,<=50K,<=50K,0
44,Private,8,Divorced,Craft-repair,Male,White,0,0,70,>50K,<=50K,0
52,Federal-gov,7,Widowed,Handlers-cleaners,Male,White,0,0,46,<=50K,>50K,0
18,Private,10,Married-civ-spouse,Sales,Male,White,0,0,34,<=50K,<=50K,0
52,Private,5,Married-civ-spouse,Prof-specialty,Male,White,0,0,34,<=50K,<=50K,0
54,Private,10,Married-civ-spouse,Farming-fishing,Male,Black,0,0,39,>50K,>50K,1
64,Private,6,Married-civ-spouse,Sales,Male,White,0,0,50,>50K,>50K,1
31,Private,13,Never-married,Tech-support,Male,White,0,0,41,>50K,>50K,0
20,Self-emp-not-inc,6,Divorced,Prof-specialty,Male,Black,38850,0,32,<=50K,<=50K,0
18,Private,11,Married-civ-spouse,Tech-support,Male,White,0,0,32,<=50K,<=50K,0
22,Private,5,Married-civ-spouse,Adm-clerical,Female,White,0,0,41,<=50K,<=50K,0
43,Private,11,Married-civ-spouse,Machine-op-inspct,Female,Asian,32786,0,40,<=50K,<=50K,1
72,Private,9,Separated,Craft-repair,Male,White,0,897,45,>50K,>50K,0
31,Private,12,Divorced,Farming-fishing,Male,White,0,0,51,<=50K,>50K,0
56,Self-emp-inc,8,Never-married,Prof-specialty,Male,White,0,0,72,<=50K,<=50K,0
44,Private,14,Never-married,Machine-op-inspct,Male,White,68261,0,22,>50K,>50K,1
26,Private,11,Never-married,Exec-managerial,Female,White,0,0,48,<=50K,<=50K,0
32,Private,10,Never-married,Tech-support,Male,White,0,0,41,<=50K,>50K,0
32,Private,9,Married-civ-spouse,Adm-clerical,Female,Other,0,0,17,<=50K,<=50K,0
43,Self-emp-not-inc,8,Never-married,Tech-support,Male,White,0,0,54,>50K,>50K,0
59,Private,11,Never-married,Sales,Male,White,0,0,45,>50K,>50K,1
30,Private,9,Never-married,Handlers-cleaners,Female,White,0,0,49,<=50K,<=50K,0
68,Self-emp-inc,9,Widowed,Adm-clerical,Female,White,0,0,19,<=50K,<=50K,0
49,Private,5,Never-married,Adm-clerical,Female,White,0,0,37,<=50K,<=50K,0
56,Local-gov,6,Never-married,Craft-repair,Female,White,0,0,27,<=50K,<=50K,0
66,Private,9,Separated,Farming-fishing,Male,White,0,0,65,>50K,>50K,1
69,Private,7,Married-civ-spouse,Exec-managerial,Female,White,0,0,53,>50K,>50K,1
49,Local-gov,6,Divorced,Exec-managerial,Male,White,0,0,31,<=50K,<=50K,0
21,Self-emp-inc,8,Divorced,Craft-repair,Female,White,0,0,21,<=50K,<=50K,0
47,Private,8,Married-civ-spouse,Tech-support,Male,White,0,0,42,>50K,>50K,0
54,Self-emp-not-inc,8,Never-married,Transport-moving,Female,White,0,0,53,<=50K,<=50K,0
40,Private,8,Never-married,Machine-op-inspct,Male,White,0,0,19,>50K,>50K,0
56,Private,7,Never-married,Transport-moving,Male,White,0,747,28,>50K,>50K,0
62,Private,11,Widowed,Sales,Male,White,0,0,26,>50K,>50K,1
32,Private,13,Married-civ-spouse,Exec-managerial,Female,White,0,0,50,<=50K,<=50K,1
60,Self-emp-inc,9,Never-married,Farming-fishing,Male,White,0,0,35,>50K,>50K,0
46,Private,8,Divorced,Handlers-cleaners,Male,White,44634,0,36,>50K,>50K,0
53,Private,15,Married-civ-spouse,Tech-support,Male,White,0,0,42,>50K,>50K,1
30,Self-emp-inc,6,Married-civ-spouse,Farming-fishing,Male,White,0,0,29,<=50K,<=50K,0
49,Private,6,Never-married,Farming-fishing,Female,White,0,0,22,<=50K,<=50K,0
24,Private,9,Divorced,Prof-specialty,Male,White,0,0,56,<=50K,<=50K,0
68,Private,11,Never-married,Adm-clerical,Female,White,0,0,57,>50K,>50K,1
39,Private,14,Divorced,Machine-op-inspct,Male,White,0,0,42,>50K,>50K,1
45,Self-emp-not-inc,14,Married-civ-spouse,Adm-clerical,Male,White,0,0,43,<=50K,<=50K,1
19,Private,13,Married-civ-spouse,Farming-fishing,Female,White,0,0,55,<=50K,<=50K,0
59,Private,11,Married-civ-spouse,Craft-repair,Male,White,0,0,41,>50K,>50K,1
62,Self-emp-not-inc,9,Widowed,Transport-moving,Male,White,0,0,34,<=50K,<=50K,0
74,Private,14,Married-civ-spouse,Prof-specialty,Male,White,0,0,40,>50K,>50K,1
70,Private,14,Widowed,Adm-clerical,Female,White,0,0,56,>50K,>50K,1
23,Local-gov,14,Widowed,Sales,Male,White,0,0,40,>50K,>50K,1
45,Private,10,Widowed,Handlers-cleaners,Female,White,0,0,31,<=50K,<=50K,0
45,Private,15,Divorced,Handlers-cleaners,Female,Black,0,0,41,<=50K,<=50K,1
61,Private,7,Separated,Machine-op-inspct,Male,White,0,0,47,>50K,>50K,1
61,Private,9,Married-civ-spouse,Sales,Male,Black,0,0,46,>50K,>50K,1
37,Private,12,Married-civ-spouse,Adm-clerical,Female,White,0,0,46,<=50K,<=50K,1
47,Private,5,Married-civ-spouse,Adm-clerical,Male,White,0,0,30,>50K,>50K,0
28,Self-emp-inc,5,Separated,Farming-fishing,Male,White,0,0,49,<=50K,<=50K,0
72,Private,11,Married-civ-spouse,Adm-clerical,Male,Black,0,0,40,>50K,>50K,1
45,Private,9,Divorced,Sales,Male,White,0,2077,31,<=50K,<=50K,0
42,Self-emp-not-inc,9,Married-civ-spouse,Handlers-cleaners,Female,White,0,0,49,<=50K,<=50K,0
56,Private,5,Married-civ-spouse,Farming-fishing,Female,White,0,0,34,<=50K,<=50K,0
50,Self-emp-not-inc,13,Married-civ-spouse,Tech-support,Female,White,0,0,21,>50K,<=50K,0
18,Private,5,Never-married,Sales,Male,White,0,0,27,<=50K,<=50K,0
74,Private,9,Divorced,Craft-repair,Male,White,0,0,37,>50K,>50K,1
44,Local-gov,14,Never-married,Adm-clerical,Male,White,0,0,46,>50K,<=50K,1
74,Private,13,Never-married,Handlers-cleaners,Female,White,0,0,29,<=50K,<=50K,1
69,State-gov,8,Widowed,Transport-moving,Male,White,0,0,37,>50K,>50K,0
30,Private,12,Divorced,Adm-clerical,Female,White,0,0,25,<=50K,<=50K,0
58,Private,10,Never-married,Craft-repair,Male,White,0,0,51,>50K,>50K,1
20,Private,15,Divorced,Handlers-cleaners,Male,Black,0,0,60,<=50K,>50K,0
56,Private,7,Divorced,Machine-op-inspct,Female,White,0,0,59,<=50K,<=50K,0
23,Self-emp-not-inc,8,Never-married,Adm-clerical,Male,White,0,0,51,<=50K,<=50K,0
25,Private,6,Never-married,Farming-fishing,Female,White,0,0,50,<=50K,<=50K,0
44,Self-emp-inc,5,Never-married,Prof-specialty,Female,White,0,0,15,<=50K,<=50K,0
26,Private,12,Never-married,Sales,Male,White,0,0,42,<=50K,>50K,0
54,Private,5,Married-civ-spouse,Craft-repair,Male,White,81294,0,34,>50K,>50K,1
50,Private,15,Never-married,Adm-clerical,Male,White,62331,0,50,>50K,>50K,1
68,Private,5,Married-civ-spouse,Tech-support,Female,White,0,0,9,<=50K,<=50K,0
59,Private,8,Divorced,Transport-moving,Male,White,0,0,42,<=50K,<=50K,0
61,Private,14,Never-married,Handlers-cleaners,Male,White,0,0,37,>50K,>50K,1
41,Private,14,Widowed,Craft-repair,Male,White,0,0,53,>50K,>50K,1
32,Self-emp-not-inc,10,Married-civ-spouse,Sales,Female,Black,0,0,58,<=50K,<=50K,0
71,Self-emp-not-inc,13,Married-civ-spouse,Adm-clerical,Male,White,0,0,28,>50K,>50K,1
49,Private,5,Married-civ-spouse,Tech-support,Female,White,0,0,29,<=50K,<=50K,0
49,Private,11,Married-civ-spouse,Handlers-cleaners,Female,White,31358,0,42,>50K,>50K,1
41,Private,14,Never-married,Sales,Male,White,0,0,60,>50K,>50K,1
58,Private,15,Never-married,Handlers-cleaners,Male,White,0,0,40,>50K,>50K,1
69,Private,9,Never-married,Sales,Female,White,0,0,24,<=50K,<=50K,1
66,Private,12,Never-married,Adm-clerical,Male,White,0,0,32,>50K,>50K,1
66,Self-emp-inc,11,Married-civ-spouse,Prof-specialty,Female,White,0,0,42,>50K,>50K,1
69,Private,8,Married-civ-spouse,Exec-managerial,Male,White,31632,0,42,>50K,>50K,1
29,Private,8,Married-civ-spouse,Farming-fishing,Male,White,33309,0,31,>50K,>50K,0
56,Private,10,Never-married,Prof-specialty,Female,White,0,0,32,<=50K,<=50K,0
19,Local-gov,10,Never-married,Exec-managerial,Male,White,0,0,28,<=50K,<=50K,0
20,Private,13,Never-married,Adm-clerical,Male,White,0,0,53,<=50K,<=50K,0
66,Self-emp-inc,9,Married-civ-spouse,Adm-clerical,Male,White,0,0,29,>50K,>50K,1
54,State-gov,12,Married-civ-spouse,Adm-clerical,Male,White,37895,0,34,>50K,>50K,1
66,Self-emp-not-inc,9,Separated,Exec-managerial,Male,White,0,0,34,<=50K,<=50K,1
73,State-gov,6,Married-civ-spouse,Tech-support,Male,White,0,0,20,>50K,>50K,1
34,Private,10,Never-married,Craft-repair,Female,White,0,0,29,<=50K,<=50K,0
66,Private,13,Married-civ-spouse,Exec-managerial,Male,White,0,0,54,>50K,>50K,1
19,Private,7,Married-civ-spouse,Transport-moving,Male,White,75893,0,25,<=50K,<=50K,0
19,Private,5,Never-married,Craft-repair,Male,Black,0,0,28,<=50K,<=50K,0
45,Private,5,Married-civ-spouse,Transport-moving,Female,White,0,0,24,<=50K,<=50K,0
71,Private,7,Never-married,Sales,Male,White,0,0,38,>50K,<=50K,0
40,Private,14,Never-married,Farming-fishing,Female,White,0,0,62,<=50K,<=50K,1
54,Self-emp-inc,9,Divorced,Farming-fishing,Male,White,0,0,38,<=50K,<=50K,0
49,Private,7,Never-married,Farming-fishing,Male,White,0,0,40,<=50K,<=50K,0
50,Private,13,Divorced,Machine-op-inspct,Male,Black,0,0,30,>50K,<=50K,1
18,State-gov,12,Married-civ-spouse,Exec-managerial,Male,Black,0,0,39,<=50K,<=50K,0
36,Private,7,Never-married,Tech-support,Male,White,0,0,54,>50K,<=50K,0
19,Self-emp-not-inc,13,Divorced,Sales,Male,Black,0,0,41,<=50K,<=50K,1
70,Self-emp-not-inc,10,Married-civ-spouse,Adm-clerical,Female,Other,0,0,65,>50K,>50K,1
61,Private,11,Never-married,Exec-managerial,Male,White,0,0,55,>50K,>50K,1
43,Private,8,Divorced,Transport-moving,Male,White,38146,0,38,<=50K,>50K,0
49,Private,8,Never-married,Transport-moving,Male,White,0,0,38,<=50K,<=50K,0
23,Self-emp-not-inc,6,Never-married,Craft-repair,Female,White,30032,0,59,<=50K,<=50K,0
49,Private,9,Married-civ-spouse,Adm-clerical,Male,White,0,0,41,>50K,>50K,1
72,Private,12,Divorced,Machine-op-inspct,Male,White,0,0,56,>50K,>50K,1
21,Self-emp-not-inc,11,Married-civ-spouse,Transport-moving,Male,Other,89176,0,64,>50K,>50K,0
72,Private,11,Married-civ-spouse,Farming-fishing,Female,White,0,0,37,>50K,>50K,1
28,Self-emp-not-inc,10,Never-married,Craft-repair,Male,White,0,0,44,<=50K,>50K,0
73,Local-gov,7,Never-married,Prof-specialty,Male,White,0,0,51,>50K,>50K,0
34,Local-gov,9,Married-civ-spouse,Handlers-cleaners,Female,Black,33602,0,49,<=50K,<=50K,0
55,Self-emp-not-inc,5,Never-married,Craft-repair,Female,Other,22584,0,49,<=50K,<=50K,0
41,Private,11,Widowed,Craft-repair,Male,White,0,0,23,<=50K,<=50K,0
22,State-gov,13,Divorced,Transport-moving,Female,White,0,0,29,<=50K,<=50K,0
69,Private,5,Never-married,Exec-managerial,Male,White,0,0,34,<=50K,>50K,0
51,Private,6,Never-married,Adm-clerical,Male,White,0,0,54,<=50K,<=50K,0
23,Private,7,Married-civ-spouse,Prof-specialty,Male,White,0,0,25,<=50K,<=50K,0
39,State-gov,7,Married-civ-spouse,Farming-fishing,Male,White,0,0,58,>50K,>50K,0
28,Self-emp-not-inc,12,Never-married,Exec-managerial,Male,White,6362,0,49,<=50K,<=50K,0
65,Self-emp-not-inc,11,Divorced,Sales,Female,White,0,0,53,>50K,<=50K,1
33,Private,10,Divorced,Transport-moving,Male,White,0,0,28,<=50K,<=50K,0
50,Self-emp-not-inc,14,Never-married,Adm-clerical,Male,White,0,0,40,>50K,>50K,1
26,Self-emp-not-inc,14,Never-married,Tech-support,Male,White,0,0,43,<=50K,<=50K,0
23,Private,15,Married-civ-spouse,Farming-fishing,Female,White,81589,0,43,<=50K,<=50K,1
33,Private,8,Married-civ-spouse,Exec-managerial,Male,White,0,0,43,<=50K,<=50K,0
46,Private,13,Married-civ-spouse,Farming-fishing,Male,White,0,0,36,>50K,>50K,1
20,Private,5,Divorced,Adm-clerical,Male,White,0,0,41,<=50K,<=50K,0
37,Private,15,Married-civ-spouse,Sales,Male,White,40023,0,52,>50K,>50K,1
53,Private,6,Divorced,Sales,Female,White,0,0,26,<=50K,<=50K,0
36,Private,8,Married-civ-spouse,Farming-fishing,Female,White,0,0,58,<=50K,<=50K,0
43,Private,7,Divorced,Sales,Male,White,0,0,51,<=50K,<=50K,0
20,Private,5,Married-civ-spouse,Exec-managerial,Female,White,0,0,28,<=50K,<=50K,0
36,Private,9,Divorced,Farming-fishing,Male,Black,0,0,44,<=50K,<=50K,0
37,Local-gov,11,Married-civ-spouse,Exec-managerial,Female,White,0,0,50,>50K,>50K,1
49,Private,6,Married-civ-spouse,Sales,Male,White,0,0,25,>50K,<=50K,0
24,Private,9,Never-married,Machine-op-inspct,Male,Other,0,0,40,<=50K,<=50K,0
69,Private,10,Married-civ-spouse,Handlers-cleaners,Male,White,0,0,39,>50K,>50K,1
58,Private,15,Never-married,Tech-support,Male,White,0,0,32,>50K,>50K,1
50,Local-gov,11,Never-married,Transport-moving,Male,White,0,3165,41,<=50K,<=50K,0
57,Private,5,Divorced,Adm-clerical,Male,White,0,0,32,<=50K,<=50K,0
56,Private,11,Never-married,Tech-support,Male,White,0,0,56,>50K,>50K,1
35,State-gov,8,Married-civ-spouse,Exec-managerial,Female,White,63969,0,32,<=50K,<=50K,0
57,Private,12,Divorced,Handlers-cleaners,Male,Black,0,0,49,>50K,>50K,1
18,Private,8,Married-civ-spouse,Handlers-cleaners,Female,Black,42291,0,20,<=50K,<=50K,1
28,Private,10,Married-civ-spouse,Machine-op-inspct,Female,White,0,0,38,<=50K,<=50K,0
45,Private,13,Married-civ-spouse,Prof-specialty,Male,White,0,0,40,>50K,>50K,1
